CodeOst,Code,Name
10,1000000,استان تهران
10,1001000,تهران
10,1001103,زرقان
10,1001104,دولاب
10,1001105,کوي  سيزدهم  ابان
10,1001200,کن
10,1001201,سولقان
10,1001902,گلندوک
10,1002000,اسلامشهر
10,1002101,ده  عباس
10,1002102,صالح  اباد
10,1002200,چهاردانگه
10,1002201,فيروزبهرام
10,1003000,دماوند
10,1003101,رودهن
10,1003102,کيلان
10,1003103,تارورد
10,1003104,مرا
10,1003105,ابعلي
10,1003106,جمع  ابرود
10,1003108,ابرشيوه
10,1003109,سربندان
10,1003200,فيروزکوه
10,1003201,حبلرود
10,1003202,اتشان
10,1003203,پشتکوه
10,1003204,سرانزا
10,1003205,شهراباد
10,1003206,قزقانچي
10,1003207,ارجمند
10,1003208,وزنا
10,1003209,انزها
10,1003901,جاجرود
10,1003902,جابان
10,1003903,سياهرود
10,1003904,گل  گنگک
10,1003905,زور
10,1003906,مشاع
10,1003907,دوره
10,1003908,دشت مزار
10,1003909,ميگون
10,1003910,گندم  اباد
10,1003911,حرانک
10,1003912,اه
10,1004000,شهر ري
10,1004100,مرکزي  ري
10,1004101,خلازير
10,1004102,غني  اباد
10,1004200,فشاپويه
10,1004201,حسن آباد
10,1004202,وهن اباد
10,1004300,کهريزک
10,1004301,باقرشهر
10,1004302,قلعه  نو
10,1004901,حکيم  اباد
10,1004902,بهشت زهرا
10,1004903,اسمعيل  اباد
10,1004904,قصطانک
10,1004905,منصوراباد
10,1004906,علي  ابادراه  قم
10,1004907,نعمت اباد
10,1004908,ولي  ابادنو
10,1006000,شميرانات
10,1006101,تجريش
10,1006200,لواسانات
10,1006204,افجه
10,1006300,رودبارقصران
10,1006301,فشم
10,1006302,حاجي آباد
10,1006903,زرگنده
10,1006904,رستم  اباد
10,1006905,کندسفلي
10,1006906,دزاشيب
10,1006907,درکه
10,1006908,داراباد
10,1006909,کامرانيه
10,1006910,کاشانک
10,1006911,قنات کوثر
10,1006912,قلهک
10,1006913,امامه
10,1006914,اقدسيه
10,1006915,تلخ  اباد
10,1006917,اوشان
10,1006918,مراتع  لار
10,1007000,شهريار
10,1007100,مرکزي  شهريار
10,1007101,قدس
10,1007102,اکبراباد
10,1007103,ملارد
10,1007104,وحيديه
10,1007105,ابسرد
10,1007106,اختراباد
10,1007107,بي  بي  سکينه
10,1007109,جوقين
10,1007110,رزکان
10,1007111,فردوس
10,1007112,قايم  اباد
10,1007113,مويز
10,1007114,ده  مويز
10,1007115,سعيداباد
10,1007200,رباطکريم
10,1007202,امام  زاده  ابوطالب
10,1007203,ادران
10,1007204,منجيل  اباد
10,1007300,شهر قدس
10,1007400,بهارستان
10,1007901,چهاردانگه  شهرياري
10,1007902,کهنه
10,1007903,ده  شاه  بالا
10,1007904,کرشته
10,1007905,علي  بيات
10,1010000,ورامين
10,1010100,مرکزي  ورامين
10,1010101,قرچک
10,1010102,بهنام  پازوکي  جنوبي
10,1010103,باقرآباد
10,1010104,بهنام  وسطي  شمالي
10,1010105,باغ  خواص
10,1010106,بومهن
10,1010200,پاکدشت
10,1010201,بهنام  پازوکي  شمالي
10,1010202,حصارامير
10,1010203,بهنام  سوخته  شمالي
10,1010204,کريم  اباد
10,1010205,فيلستان
10,1010206,تجن
10,1010300,جواداباد
10,1010301,بهنام غرب جنوبي
