Code,Name,HesLevel,fBed,fBes,CreateTime,CreateDate
11,داراييهاي جاري,0,0,0,NULL,1396/09/28
1110,موجودي نقد وبانك,1,0,0,NULL,1396/09/28
111001,صندوق,2,403538379,0,NULL,1396/09/28
111002,موجودي بانك,2,3504561993,0,NULL,1396/09/28
111003,تنخواه گردان,2,0,0,18:32:59,1401/01/26
1112,اسناد دريافتني,1,0,0,NULL,1396/09/28
111201,اسناد دريافتني,2,0,0,NULL,1396/09/28
111202,چكهاي در جريان وصول,2,0,0,NULL,1396/09/28
1113,حسابهاي دريافتني تجاري,1,0,0,NULL,1396/09/28
111301,مشتريان,2,3059406001,0,NULL,1396/09/28
1114,ساير حسابهاي دريافتني,1,0,0,NULL,1396/09/28
111401,بدهکاران,NULL,7016310,0,20:02:08,1399/11/26
1115,سرمايه گذاري هاي كوتاه مدت,1,0,0,NULL,1396/09/28
111501,سپرده كوتاه مدت,2,0,0,NULL,1396/09/28
1116,موجودي كالا,1,0,0,NULL,1396/09/28
111601,موجودي كالا,2,11653181791,0,18:32:59,1401/01/26
1119,پيش پرداختها,1,0,0,NULL,1396/09/28
111901,پيش پرداخت,2,33000000,0,NULL,1396/09/28
12,داراييهاي غيرجاري,0,0,0,NULL,1396/09/28
1210,اموال ، ماشين آلات و تجهيزات,1,0,0,NULL,1396/09/28
121001,ساختمان,2,0,0,NULL,1396/09/28
121002,زمين,2,0,0,18:32:59,1401/01/26
121003,تجهيزات,2,0,0,18:32:59,1401/01/26
121004,وسائط نقليه,2,15500000,0,NULL,1396/09/28
121005,اثاثيه و ملزومات,2,522170000,0,09:30:36,1396/10/05
1211,استهلاك انباشته اموال ، ماشين آلات وتجهيزات,1,0,0,NULL,1396/09/28
121101,استهلاك انباشته ساختمان,2,0,0,NULL,1396/09/28
121102,استهلاك انباشته تجهيزات,2,0,0,18:32:59,1401/01/26
121103,استهلاك انباشته وسائط نقليه,2,10300000,0,NULL,1396/09/28
121104,استهلاك انباشته اثاثيه و ملزومات,2,0,0,18:32:59,1401/01/26
21,بدهيهاي جاري,0,0,0,NULL,1396/09/28
2110,حسابهاي پرداختني تجاري,1,0,0,NULL,1396/09/28
