Code,BarCode,Name,Plu,Price,Mojodi,Consumer
00112,00112,شامپو داروگر خمره اي,NULL,59000,-13,63700
10043,10043,خرما درجه 1,37,222000,-432,0
10154,10154,خرماي کلوته سطلي 1.300 گرمي,264,315000,-39,330000
10265,10265,گوجه سبز,317,95000,-10,120000
4005808828081,4005808828081,مام نيوا فرش مردانه,NULL,0,0,0
6001067003366,6001067003366,خمير دندان گلگيت وايت,NULL,275000,-2,300000
6260002910262,6260002910262,خلال سيب زميني مزمز,NULL,46500,-54,50000
6260006901952,6260006901952,پودر کتلت سبزان,NULL,0,0,0
6260010512601,6260010512601,مايع لباسشويي جنرال بنفش 2000 گرمي HD سافتلن,NULL,330000,-5,348000
6260010541007,6260010541007,نرم کننده موي سر ابي اوه 1 ليتري,NULL,173500,-23,183500
6260031030030,6260031030030,شامپو پروتينه صحت,NULL,0,0,0
6260063214569,6260063214569,کره100سنتي پاک,NULL,44500,-27,45000
6260100359338,6260100359338,سوپ سبزيجات,NULL,0,0,0
6260104703335,6260104703335,ويفر چيچک پاندا,NULL,8500,-24,10000
6260107400019,6260107400019,شامپو کودک لاکپشتهاي نينجا,NULL,110000,0,118000
6260113800933,6260113800933,شربت سکنجبين,NULL,0,0,0
6260137934805,6260137934805,اسپري زنانه بلاش,NULL,0,0,0
6260161501455,6260161501455,پنير ورقه اي گودا کاله,NULL,115000,-6,120000
6260161539045,6260161539045,پنير سفيد امل 400 گرمي,NULL,0,0,0
6260171520293,6260171520293,ماکاروني مانا فرمي ساده وسبزيجات پروانه کوچک,NULL,51500,-20,54000
6260176808778,6260176808778,نکتار 1 ليتري مخلوط ميوه ها ميهن,NULL,100000,-10,140000
6260176815486,6260176815486,نوشيدني 200 سي سي پرتقال توسرخ پالپ دار ميهن,NULL,22000,-7,30000
6260198703341,6260198703341,اب انار,NULL,0,0,0
6260204502852,6260204502852,مايع شيشه شوي بنفش 500 ميل راپيدو,NULL,72000,-8,0
6260212775262,6260212775262,صابون لباسشويي فيروز 4 عددي,NULL,0,0,0
6260255515054,6260255515054,مايع دستشويي پمپي نشاط,NULL,64000,-32,73250
6260272804315,6260272804315,ماست 2000 کم چرب پربيوتيک دامداران,NULL,126500,-1,130000
6260312200046,6260312200046,سس مايونز 900 گ رعنا,NULL,125000,-215,140000
6260340701157,6260340701157,تن ماهي با فلفل قرمز,NULL,0,0,0
6260377700024,6260377700024,سس مايونز بزرگ دلوسه,NULL,0,0,0
6260406231567,6260406231567,ويفر فلوپک متوسط پرتقالي 36 عددي شيرين وطن,NULL,24000,-10,30000
6260473902278,6260473902278,کيک مخصوص کوچک تندير24عدد,NULL,0,0,0
6260475732309,6260475732309,سويا خورشتي جمع,NULL,47500,0,52000
6260475780706,6260475780706,نمک جمع کوچک,NULL,0,0,0
6260520202122,6260520202122,هات چاکلت مولتي کافه تکي,NULL,20000,94,0
6260528361692,6260528361692,نايلون فريزر رولي سبلان,NULL,0,0,0
6260544413634,6260544413634,شکلات چتري ماتريس,NULL,37500,-4,40000
6260623330913,6260623330913,دستمال ارايشي نينو,NULL,0,0,0
6260661003541,6260661003541,ماست پروبيوتيک 1500 گرمي پر چرب 4% هراز,NULL,141000,-19,145000
6260706100075,6260706100075,دستمال مرطوب لاسين,NULL,0,0,0
6260859000956,6260859000956,کتف بال زعفراني,NULL,0,0,0
6261005060039,6261005060039,سفيد کننده 4 ليتري يکتا,NULL,0,0,0
6261124000145,6261124000145,کرم ترک لب سفيد دکتر ژيلا,NULL,126000,12,145300
6261124011523,6261124011523,بس 2 مايع دستشويي سيب 500,NULL,78000,-12,84600
6261149041529,6261149041529,کيک لايه ساده ليمو 25گ شيرين عسل,NULL,0,0,0
6261198012082,6261198012082,سس مهرام 630گ,NULL,117000,-94,123000
6261552204962,6261552204962,پودر هات چاکلت 31 گرمي Remi بسته اي,NULL,380000,-1,0
6261946102591,6261946102591,بستني دو قلو پاندا,NULL,19000,-8,20000
6262032506736,6262032506736,رب فاميلا 800 گرمي,NULL,0,0,0
6262291400639,6262291400639,پاستيل کولا ژل ژله,NULL,18000,0,20000
6262484603151,6262484603151,ويفر سامک موز بزرگ,NULL,16000,-24,20000
6262753000025,6262753000025,روغن سرخ کردني  بدون پالم1800 اويلا,NULL,172000,-356,175000
6262825800577,6262825800577,مايع ظرفشويي سيلور 2000 گ بنفش اکتيو,NULL,190000,-3,206475
6262825802717,6262825802717,مايع ظرفشويي اسليو سبز,NULL,0,0,0
6262825802755,6262825802755,مايع ظرفشويي اسليو زرد 1000 گ,NULL,0,0,0
6262825802847,6262825802847,لوله بازيکن اکتيو نارنجي,NULL,0,0,0
6262825802854,6262825802854,مايع حيات صورتي,NULL,0,0,0
6262825803080,6262825803080,مايع دستشويي صدفي 450 گرمي اکتيو سبز,NULL,98000,12,103400
6262825803097,6262825803097,مايع دستشويي صدفي 450 گرمي اکتيو بنفش,NULL,98000,0,103400
6262825803127,6262825803127,مايع دستشويي صدفي 2500گ اکتيو بنفش,NULL,260000,-6,279450
6262825803134,6262825803134,مايع دستشويي صدفي 2500گ اکتيو ابي,NULL,260000,-1,279450
6262825803158,6262825803158,مايع دستشويي صدفي 450 گرمي اکتيو ابي,NULL,98000,2,103400
6262825803226,6262825803226,مايع دستشويي صدفي 450 گرمي اکتيو صورتي,NULL,98000,10,103400
6262825803233,6262825803233,مايع دستشويي صدفي 450 گرمي اکتيو سفيد,NULL,98000,12,103400
6262825803271,6262825803271,مايع دستشويي صدفي 2500گرمي سفيد اکتيو,NULL,260000,-1,279450
