Type,Code,Row,CodeK,Sharh_kh,vahed,Serial,Tedad,Ghimat,Kol,Ghimatg,Kolg,ghimat2,kol2,GhimatF,MabArzesh,DarTkh,MabTkh,KolNet,KolAdd,kol22,rateKol,ghimatTamam,TedadBack,RemTedadBack,GhimMas,GhimatKhales,MabKhales
0,1,1,0071984000003,NULL,,NULL,18,205881.5,3705867,205881.5,3705867,205881.5,3705867,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,2,012546011648,NULL,,NULL,6,311977.5,1871865,311977.5,1871865,311977.5,1871865,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,3,0133100017680015,NULL,,NULL,80,40861.012,3268881,40861.012,3268881,40861.012,3268881,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,4,0134513844,NULL,,NULL,52,262030.462,13625584,262030.462,13625584,262030.462,13625584,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,5,0160290955260031,NULL,,NULL,1,112550,112550,112550,112550,112550,112550,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,6,0160400051410074,NULL,,NULL,2,171483.5,342967,171483.5,342967,171483.5,342967,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,7,0160610559840003,NULL,,NULL,10,105000,1050000,105000,1050000,105000,1050000,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,8,0160610559840012,NULL,,NULL,29,49915.483,1447549,49915.483,1447549,49915.483,1447549,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,9,0160610559850020,NULL,,NULL,7,100000,700000,100000,700000,100000,700000,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,10,0160610559940009,NULL,,NULL,1,193572,193572,193572,193572,193572,193572,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,11,0160620559840003,NULL,,NULL,1,128000,128000,128000,128000,128000,128000,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,12,0160620559840007,NULL,,NULL,8,90000,720000,90000,720000,90000,720000,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,13,0161100019140009,NULL,,NULL,13,358280,4657640,358280,4657640,358280,4657640,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,14,0162510031780003,NULL,,NULL,2,99937,199874,99937,199874,99937,199874,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,15,0162510054440318,NULL,,NULL,57,26100,1487700,26100,1487700,26100,1487700,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,16,0162900054350761,NULL,,NULL,39,71772.949,2799145,71772.949,2799145,71772.949,2799145,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,17,043297013339,NULL,,NULL,3,148960,446880,148960,446880,148960,446880,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,18,051500255162,NULL,,NULL,2,1525362.5,3050725,1525362.5,3050725,1525362.5,3050725,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,19,051500255377,NULL,,NULL,4,1329482.75,5317931,1329482.75,5317931,1329482.75,5317931,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,20,071984000003,NULL,,NULL,37,138954.162,5141304,138954.162,5141304,138954.162,5141304,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,21,10001,NULL,,NULL,2,400000,800000,400000,800000,400000,800000,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,22,10002,NULL,,NULL,3,20393,61179,20393,61179,20393,61179,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,23,10161100047490006,NULL,,NULL,2,223309.5,446619,223309.5,446619,223309.5,446619,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,24,10167150403500001,NULL,,NULL,42,194576.548,8172215,194576.548,8172215,194576.548,8172215,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,25,1164390305600003,NULL,,NULL,30,203464,6103920,203464,6103920,203464,6103920,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,26,11742481801703,NULL,,NULL,4,298957,1195828,298957,1195828,298957,1195828,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,27,12345678102,NULL,,NULL,4,88608.5,354434,88608.5,354434,88608.5,354434,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
0,1,28,123456789012,NULL,,NULL,127,38719.961,4917435,38719.961,4917435,38719.961,4917435,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
